frame,left_eye_temp,right_eye_temp,forehead_temp,nose_temp,left_cheek_temp,right_cheek_temp
0,34.8532637705,34.138924973,35.1682383575,32.715965553941174,33.877822328079034,32.86764825964602
1,34.84884518,34.442334854,34.13595595962055,32.28069107017647,33.833538533753476,32.61479136564417
2,35.2332625535,34.745744735,34.36042463870968,32.288142026705884,33.78322016323595,32.19212813373391
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,35.717834645,34.975511441,34.525769064457144,31.572330365705884,33.97229596900971,33.85721367121312
45,35.815043636,35.7310904165,34.69972139632674,31.905197516705883,33.81381128457215,34.58528758639423
46,35.8400823155,35.756129096,34.72970062382775,32.243956121705885,33.941440522929476,34.541829515079485
47,35.8135707725,36.0374460245,34.776134036573396,32.368369767941175,33.885559195614974,34.48445764683146
48,35.570548295,35.788532093,34.68915486598719,32.35918603082353,33.97090857910897,34.48692862889231
49,35.694268829,35.9785314845,34.77954212611033,32.570411984529414,33.99193493873373,34.51969122510345
50,35.5543467965,36.044810342,34.75594148230769,32.94486586964706,33.991333213177256,34.46277714218597
51,35.706051737,35.991787256,34.75422281785143,32.60628054270588,33.98918055550336,34.445332433696564
52,35.7664391405,36.018298799,34.74372075850467,32.39176230588235,33.88494694686318,34.36399248572363
53,35.373184586,35.9638028495,34.7437822657761,31.950596368117647,33.810861505926404,34.41602536447654
54,35.7193075085,35.944655624,34.767253217857146,32.242743175294116,33.82838593757983,34.30098072930796
55,35.812097909,35.99767871,34.785421132,32.37720694894118,33.86195136088586,34.25996255671722
56,35.770857731,35.990314392500004,34.74124461287563,32.801738193058824,33.847175261375,34.02846664221834
57,35.8371365885,36.002097300500004,34.766975789600004,32.36143864558824,33.789550084554456,33.85810369712919
58,35.8371365885,35.985895802,34.741785898153275,32.201676275352945,33.81782549085359,33.86317567744681
59,35.785586366000004,35.871012449,34.73960008433963,32.20410216817647,33.81146948545743,33.80737126408724
60,35.797369274000005,35.8636481315,34.76411346878505,32.43092314717647,33.82110052895402,33.5159943316653
61,35.8076793185,35.785586366000004,34.73419736280374,32.59675024947059,33.83918457352113,33.664419477487606
62,35.815043636,35.8312451345,34.73554798769231,32.667101141352944,33.81182225286448,33.5506590073225
63,35.797369274000005,35.8430280425,34.748644727353565,32.652199228294116,33.800906210910966,33.45820464237864
64,35.816516499500004,35.8341908615,34.7830786893458,32.53229081158824,33.80118707583587,33.96157106371941
65,35.8282994075,35.868066722,34.787806884886514,32.52397346476471,33.786123235345784,33.36325686390469
66,35.8282994075,35.815043636,34.762774104706274,32.62724718782353,33.765674369382474,33.45193522911765
67,35.835663725,35.6545015145,34.822963540886796,32.129939159,33.77081299293569,33.96910507030769
68,35.8430280425,35.679540194,34.78691080666038,31.88631020829412,33.81599168058442,34.3082331354025
69,35.806206455,35.832717998,34.77826102919231,31.921832210352942,33.90408625177124,34.34527002138504
70,35.767912004,35.800315001,34.77126350858816,31.91628731247059,33.88714231626251,34.230659604088494
71,35.782640639,35.791477820000004,34.76859951344828,31.92512449347059,33.83405390465459,34.29845221431463
